ID,Video,Illusion,Timing,Gesture,Sound,Experience
1764449971347,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764449971347,output_with_sound_A_1_2,0,incorrect,drum,instrumental,Yes
1764449971347,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764449971347,output_with_sound_A_1_4,1,correct,drum,environment,Yes
1764449971347,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764449971347,output_with_sound_B_1_2,1,incorrect,slide,environment,Yes
1764449971347,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764449971347,output_with_sound_B_1_4,1,correct,slide,environment,Yes
1764467331636,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764467331636,output_with_sound_A_1_2,0,incorrect,drum,instrumental,Yes
1764467331636,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764467331636,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764467331636,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764467331636,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764467331636,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764467331636,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764453891989,output_with_sound_A_1_1,1,correct,drum,instrumental,No
1764453891989,output_with_sound_A_1_2,1,incorrect,drum,instrumental,No
1764453891989,output_with_sound_A_1_3,0,incorrect,drum,environment,No
1764453891989,output_with_sound_A_1_4,0,correct,drum,environment,No
1764453891989,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764453891989,output_with_sound_B_1_2,0,incorrect,slide,environment,No
1764453891989,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764453891989,output_with_sound_B_1_4,0,correct,slide,environment,No
1764448981808,output_with_sound_A_1_1,1,correct,drum,instrumental,No
1764448981808,output_with_sound_A_1_2,1,incorrect,drum,instrumental,No
1764448981808,output_with_sound_A_1_3,0,incorrect,drum,environment,No
1764448981808,output_with_sound_A_1_4,0,correct,drum,environment,No
1764448981808,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764448981808,output_with_sound_B_1_2,0,incorrect,slide,environment,No
1764448981808,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764448981808,output_with_sound_B_1_4,0,correct,slide,environment,No
1764452745884,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764452745884,output_with_sound_A_1_2,0,incorrect,drum,instrumental,Yes
1764452745884,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764452745884,output_with_sound_A_1_4,1,correct,drum,environment,Yes
1764452745884,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764452745884,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764452745884,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764452745884,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764453025222,output_with_sound_A_1_1,1,correct,drum,instrumental,No
1764453025222,output_with_sound_A_1_2,0,incorrect,drum,instrumental,No
1764453025222,output_with_sound_A_1_3,0,incorrect,drum,environment,No
1764453025222,output_with_sound_A_1_4,1,correct,drum,environment,No
1764453025222,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764453025222,output_with_sound_B_1_2,0,incorrect,slide,environment,No
1764453025222,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764453025222,output_with_sound_B_1_4,0,correct,slide,environment,No
1764455187190,output_with_sound_A_1_1,1,correct,drum,instrumental,No
1764455187190,output_with_sound_A_1_2,1,incorrect,drum,instrumental,No
1764455187190,output_with_sound_A_1_3,0,incorrect,drum,environment,No
1764455187190,output_with_sound_A_1_4,1,correct,drum,environment,No
1764455187190,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764455187190,output_with_sound_B_1_2,0,incorrect,slide,environment,No
1764455187190,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764455187190,output_with_sound_B_1_4,1,correct,slide,environment,No
1764449672661,output_with_sound_A_1_1,1,correct,drum,instrumental,No
1764449672661,output_with_sound_A_1_2,1,incorrect,drum,instrumental,No
1764449672661,output_with_sound_A_1_3,1,incorrect,drum,environment,No
1764449672661,output_with_sound_A_1_4,1,correct,drum,environment,No
1764449672661,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764449672661,output_with_sound_B_1_2,0,incorrect,slide,environment,No
1764449672661,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764449672661,output_with_sound_B_1_4,0,correct,slide,environment,No
1764466886148,output_with_sound_A_1_1,0,correct,drum,instrumental,Yes
1764466886148,output_with_sound_A_1_2,0,incorrect,drum,instrumental,Yes
1764466886148,output_with_sound_A_1_3,1,incorrect,drum,environment,Yes
1764466886148,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764466886148,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764466886148,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764466886148,output_with_sound_B_1_3,0,incorrect,slide,instrumental,Yes
1764466886148,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764471883287,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764471883287,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764471883287,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764471883287,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764471883287,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764471883287,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764471883287,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764471883287,output_with_sound_B_1_4,1,correct,slide,environment,Yes
1764460507330,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764460507330,output_with_sound_A_1_2,0,incorrect,drum,instrumental,Yes
1764460507330,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764460507330,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764460507330,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764460507330,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764460507330,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764460507330,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764467573001,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764467573001,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764467573001,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764467573001,output_with_sound_A_1_4,1,correct,drum,environment,Yes
1764467573001,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764467573001,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764467573001,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764467573001,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764457616763,output_with_sound_A_1_1,0,correct,drum,instrumental,Yes
1764457616763,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764457616763,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764457616763,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764457616763,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764457616763,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764457616763,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764457616763,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764459684303,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764459684303,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764459684303,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764459684303,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764459684303,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764459684303,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764459684303,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764459684303,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764458642123,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764458642123,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764458642123,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764458642123,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764458642123,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764458642123,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764458642123,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764458642123,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764458159317,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764458159317,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764458159317,output_with_sound_A_1_3,1,incorrect,drum,environment,Yes
1764458159317,output_with_sound_A_1_4,1,correct,drum,environment,Yes
1764458159317,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764458159317,output_with_sound_B_1_2,1,incorrect,slide,environment,Yes
1764458159317,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764458159317,output_with_sound_B_1_4,1,correct,slide,environment,Yes
1764450472318,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764450472318,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764450472318,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764450472318,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764450472318,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764450472318,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764450472318,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764450472318,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764465863962,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764465863962,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764465863962,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764465863962,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764465863962,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764465863962,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764465863962,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764465863962,output_with_sound_B_1_4,1,correct,slide,environment,Yes
1764477246372,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764477246372,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764477246372,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764477246372,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764477246372,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764477246372,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764477246372,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764477246372,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764458666711,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764458666711,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764458666711,output_with_sound_A_1_3,1,incorrect,drum,environment,Yes
1764458666711,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764458666711,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764458666711,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764458666711,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764458666711,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764470875288,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764470875288,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764470875288,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764470875288,output_with_sound_A_1_4,1,correct,drum,environment,Yes
1764470875288,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764470875288,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764470875288,output_with_sound_B_1_3,0,incorrect,slide,instrumental,Yes
1764470875288,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764468329152,output_with_sound_A_1_1,0,correct,drum,instrumental,No
1764468329152,output_with_sound_A_1_2,0,incorrect,drum,instrumental,No
1764468329152,output_with_sound_A_1_3,0,incorrect,drum,environment,No
1764468329152,output_with_sound_A_1_4,0,correct,drum,environment,No
1764468329152,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764468329152,output_with_sound_B_1_2,0,incorrect,slide,environment,No
1764468329152,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764468329152,output_with_sound_B_1_4,0,correct,slide,environment,No
1764468566108,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764468566108,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764468566108,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764468566108,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764468566108,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764468566108,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764468566108,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764468566108,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764472836092,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764472836092,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764472836092,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764472836092,output_with_sound_A_1_4,1,correct,drum,environment,Yes
1764472836092,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764472836092,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764472836092,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764472836092,output_with_sound_B_1_4,1,correct,slide,environment,Yes
1764448599872,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764448599872,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764448599872,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764448599872,output_with_sound_A_1_4,1,correct,drum,environment,Yes
1764448599872,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764448599872,output_with_sound_B_1_2,1,incorrect,slide,environment,Yes
1764448599872,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764448599872,output_with_sound_B_1_4,1,correct,slide,environment,Yes
1764469789106,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764469789106,output_with_sound_A_1_2,0,incorrect,drum,instrumental,Yes
1764469789106,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764469789106,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764469789106,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764469789106,output_with_sound_B_1_2,1,incorrect,slide,environment,Yes
1764469789106,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764469789106,output_with_sound_B_1_4,1,correct,slide,environment,Yes
1764451587315,output_with_sound_A_1_1,1,correct,drum,instrumental,No
1764451587315,output_with_sound_A_1_2,1,incorrect,drum,instrumental,No
1764451587315,output_with_sound_A_1_3,0,incorrect,drum,environment,No
1764451587315,output_with_sound_A_1_4,1,correct,drum,environment,No
1764451587315,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764451587315,output_with_sound_B_1_2,0,incorrect,slide,environment,No
1764451587315,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764451587315,output_with_sound_B_1_4,1,correct,slide,environment,No
1764448660303,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764448660303,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764448660303,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764448660303,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764448660303,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764448660303,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764448660303,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764448660303,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764467493637,output_with_sound_A_1_1,1,correct,drum,instrumental,No
1764467493637,output_with_sound_A_1_2,1,incorrect,drum,instrumental,No
1764467493637,output_with_sound_A_1_3,0,incorrect,drum,environment,No
1764467493637,output_with_sound_A_1_4,0,correct,drum,environment,No
1764467493637,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764467493637,output_with_sound_B_1_2,0,incorrect,slide,environment,No
1764467493637,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764467493637,output_with_sound_B_1_4,1,correct,slide,environment,No
1764467999877,output_with_sound_A_1_1,0,correct,drum,instrumental,Yes
1764467999877,output_with_sound_A_1_2,0,incorrect,drum,instrumental,Yes
1764467999877,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764467999877,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764467999877,output_with_sound_B_1_1,0,correct,slide,instrumental,Yes
1764467999877,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764467999877,output_with_sound_B_1_3,0,incorrect,slide,instrumental,Yes
1764467999877,output_with_sound_B_1_4,0,correct,slide,environment,Yes
1764472785336,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764472785336,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764472785336,output_with_sound_A_1_3,0,incorrect,drum,environment,Yes
1764472785336,output_with_sound_A_1_4,0,correct,drum,environment,Yes
1764472785336,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764472785336,output_with_sound_B_1_2,0,incorrect,slide,environment,Yes
1764472785336,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764472785336,output_with_sound_B_1_4,1,correct,slide,environment,Yes
1764451481768,output_with_sound_A_1_1,1,correct,drum,instrumental,No
1764451481768,output_with_sound_A_1_2,1,incorrect,drum,instrumental,No
1764451481768,output_with_sound_A_1_3,1,incorrect,drum,environment,No
1764451481768,output_with_sound_A_1_4,1,correct,drum,environment,No
1764451481768,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764451481768,output_with_sound_B_1_2,1,incorrect,slide,environment,No
1764451481768,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764451481768,output_with_sound_B_1_4,1,correct,slide,environment,No
1764461980230,output_with_sound_A_1_1,1,correct,drum,instrumental,No
1764461980230,output_with_sound_A_1_2,1,incorrect,drum,instrumental,No
1764461980230,output_with_sound_A_1_3,1,incorrect,drum,environment,No
1764461980230,output_with_sound_A_1_4,0,correct,drum,environment,No
1764461980230,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764461980230,output_with_sound_B_1_2,1,incorrect,slide,environment,No
1764461980230,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764461980230,output_with_sound_B_1_4,1,correct,slide,environment,No
1764450875808,output_with_sound_A_1_1,1,correct,drum,instrumental,Yes
1764450875808,output_with_sound_A_1_2,1,incorrect,drum,instrumental,Yes
1764450875808,output_with_sound_A_1_3,1,incorrect,drum,environment,Yes
1764450875808,output_with_sound_A_1_4,1,correct,drum,environment,Yes
1764450875808,output_with_sound_B_1_1,1,correct,slide,instrumental,Yes
1764450875808,output_with_sound_B_1_2,1,incorrect,slide,environment,Yes
1764450875808,output_with_sound_B_1_3,1,incorrect,slide,instrumental,Yes
1764450875808,output_with_sound_B_1_4,1,correct,slide,environment,Yes
1764466450186,output_with_sound_A_1_1,0,correct,drum,instrumental,No
1764466450186,output_with_sound_A_1_2,0,incorrect,drum,instrumental,No
1764466450186,output_with_sound_A_1_3,0,incorrect,drum,environment,No
1764466450186,output_with_sound_A_1_4,0,correct,drum,environment,No
1764466450186,output_with_sound_B_1_1,1,correct,slide,instrumental,No
1764466450186,output_with_sound_B_1_2,0,incorrect,slide,environment,No
1764466450186,output_with_sound_B_1_3,1,incorrect,slide,instrumental,No
1764466450186,output_with_sound_B_1_4,0,correct,slide,environment,No
1764465594177,output_with_sound_A_1_1,1,correct,drum,instrumental,No
1764465594177,output_with_sound_A_1_2,1,incorrect,drum,instrumental,No
1764465594177,output_with_sound_A_1_3,0,incorrect,drum,environment,No
